X,Power Density,
mm,W/cm^2,
-0.3608,0.036467,
-0.3564,0.038898,
-0.352,0.037278,
-0.3476,0.040519,
-0.3432,0.039709,
-0.3388,0.037278,
-0.3344,0.02188,
-0.33,0.027553,
-0.3256,0.026743,
-0.3212,0.029174,
-0.3168,0.040519,
-0.3124,0.038088,
-0.308,0.038088,
-0.3036,0.044571,
-0.2992,0.045381,
-0.2948,0.038898,
-0.2904,0.029174,
-0.286,0.035657,
-0.2816,0.026743,
-0.2772,0.025122,
-0.2728,0.034036,
-0.2684,0.031605,
-0.264,0.048623,
-0.2596,0.037278,
-0.2552,0.046192,
-0.2508,0.037278,
-0.2464,0.040519,
-0.242,0.044571,
-0.2376,0.046192,
-0.2332,0.024311,
-0.2288,0.031605,
-0.2244,0.029984,
-0.22,0.029174,
-0.2156,0.04295,
-0.2112,0.043761,
-0.2068,0.046192,
-0.2024,0.067262,
-0.198,0.052675,
-0.1936,0.068883,
-0.1892,0.071314,
-0.1848,0.051865,
-0.1804,0.078607,
-0.176,0.051054,
-0.1716,0.053485,
-0.1672,0.043761,
-0.1628,0.040519,
-0.1584,0.04133,
-0.154,0.044571,
-0.1496,0.054296,
-0.1452,0.11021,
-0.1408,0.089142,
-0.1364,0.14263,
-0.132,0.18396,
-0.1276,0.17504,
-0.1232,0.15397,
-0.1188,0.18153,
-0.1144,0.17261,
-0.11,0.12804,
-0.1056,0.12561,
-0.1012,0.089952,
-0.0968,0.086711,
-0.0924,0.14668,
-0.088,0.27229,
-0.0836,0.47651,
-0.0792,0.61103,
-0.0748,0.78526,
-0.0704,1.1629,
-0.066,1.6337,
-0.0616,1.8841,
-0.0572,2.0333,
-0.0528,2.1135,
-0.0484,1.9465,
-0.044,1.8696,
-0.0396,1.8128,
-0.0352,1.6297,
-0.0308,1.4157,
-0.0264,1.2383,
-0.022,1.0227,
-0.0176,0.78121,
-0.0132,0.54782,
-0.0088001,0.31686,
-0.0044001,0.1953,
-6.6399e-08,0.19044,
0.0043999,0.28363,
0.0087999,0.43842,
0.0132,0.71395,
0.0176,0.99434,
0.022,1.2958,
0.0264,1.4927,
0.0308,1.6532,
0.0352,1.6386,
0.0396,1.5041,
0.044,1.2901,
0.0484,1.0754,
0.0528,0.93194,
0.0572,0.7496,
0.0616,0.65641,
0.066,0.58753,
0.0704,0.51054,
0.0748,0.41897,
0.0792,0.37359,
0.0836,0.35738,
0.088,0.33955,
0.0924,0.27472,
0.0968,0.20016,
0.1012,0.17423,
0.1056,0.15235,
0.11,0.11588,
0.1144,0.068883,
0.1188,0.047002,
0.1232,0.051054,
0.1276,0.044571,
0.132,0.073745,
0.1364,0.090763,
0.1408,0.10778,
0.1452,0.13047,
0.1496,0.11832,
0.154,0.11345,
0.1584,0.10778,
0.1628,0.12561,
0.1672,0.10373,
0.1716,0.072934,
0.176,0.076176,
0.1804,0.055106,
0.1848,0.039709,
0.1892,0.04133,
0.1936,0.044571,
0.198,0.059968,
0.2024,0.06321,
0.2068,0.049433,
0.2112,0.043761,
0.2156,0.065641,
0.22,0.062399,
0.2244,0.051865,
0.2288,0.046192,
0.2332,0.051865,
0.2376,0.043761,
0.242,0.039709,
0.2464,0.022691,
0.2508,0.035657,
0.2552,0.04295,
0.2596,0.038898,
0.264,0.033226,
0.2684,0.034846,
0.2728,0.035657,
0.2772,0.038898,
0.2816,0.035657,
0.286,0.038898,
0.2904,0.034846,
0.2948,0.04214,
0.2992,0.04214,
0.3036,0.029984,
0.308,0.038088,
0.3124,0.032415,
0.3168,0.037278,
0.3212,0.04214,
0.3256,0.043761,
0.33,0.04133,
0.3344,0.032415,
0.3388,0.037278,
0.3432,0.031605,
0.3476,0.032415,
0.352,0.034846,
0.3564,0.032415,
0.3608,0.030795,
0.3652,0.030795,
0.3696,0.034036,
0.374,0.035657,
0.3784,0.032415,
0.3828,0.029984,
0.3872,0.02188,
0.3916,0.034036,
0.396,0.035657,
0.4004,0.022691,
0.4048,0.026743,
0.4092,0.019449,
0.4136,0.025122,
0.418,0.029984,
0.4224,0.029174,
0.4268,0.032415,
0.4312,0.04214,
0.4356,0.028363,
0.44,0.025122,
0.4444,0.030795,
0.4488,0.04133,
0.4532,0.022691,
0.4576,0.028363,
0.462,0.031605,
0.4664,0.033226,
0.4708,0.037278,
0.4752,0.027553,
0.4796,0.031605,
